log10PER,P_Pa,T_degC,Elevation,X_Easting,Y_Northing
-15.0,2262102.0,26.725,450.0,450.0,-1359.0
-15.0,3563051.0,33.667,300.0,450.0,-1359.0
-15.0,5256917.0,43.357,100.0,450.0,-1359.0
-15.0,6963808.0,54.288,-100.0,450.0,-1359.0
-15.0,8697737.0,66.801,-300.0,450.0,-1359.0
-15.0,10483967.0,81.483,-500.0,450.0,-1359.0
-15.0,12276607.0,98.104,-700.0,450.0,-1359.0
-15.522878745280336,13603589.0,112.498,-850.0,450.0,-1359.0
-15.522878745280336,14473943.0,123.723,-950.0,450.0,-1359.0
-15.522878745280336,15346369.0,135.871,-1050.0,450.0,-1359.0
-15.522878745280336,16649068.0,155.323,-1200.0,450.0,-1359.0
-15.522878745280336,18365218.0,182.861,-1400.0,450.0,-1359.0
-15.522878745280336,19628338.0,205.468,-1550.0,450.0,-1359.0
-15.522878745280336,20454130.0,221.758,-1650.0,450.0,-1359.0
-15.522878745280336,21264289.0,238.701,-1750.0,450.0,-1359.0
-15.522878745280336,22056710.0,256.271,-1850.0,450.0,-1359.0
-14.0,1697345.0,49.47,450.0,-1050.0,291.0
-14.0,3066933.0,62.349,300.0,-1050.0,291.0
-14.0,4857963.0,79.231,100.0,-1050.0,291.0
-14.0,6637951.0,98.166,-100.0,-1050.0,291.0
-14.0,8400537.0,118.008,-300.0,-1050.0,291.0
-13.522878745280336,10170755.0,140.662,-500.0,-1050.0,291.0
-13.522878745280336,11927977.0,160.442,-700.0,-1050.0,291.0
-13.30102999566398,13235140.0,216.14,-850.0,-1050.0,291.0
-13.30102999566398,14066252.0,217.778,-950.0,-1050.0,291.0
-13.30102999566398,14894319.0,216.601,-1050.0,-1050.0,291.0
-13.30102999566398,16138747.0,213.593,-1200.0,-1050.0,291.0
-13.30102999566398,17811417.0,206.779,-1400.0,-1050.0,291.0
-13.30102999566398,19076539.0,204.95,-1550.0,-1050.0,291.0
-13.30102999566398,19913545.0,220.981,-1650.0,-1050.0,291.0
-13.30102999566398,20735975.0,234.828,-1750.0,-1050.0,291.0
-17.0,21606762.0,276.891,-1850.0,-1050.0,291.0
-11.69897000433602,1704221.0,194.687,450.0,650.0,41.0
-11.69897000433602,3064858.0,201.383,300.0,650.0,41.0
-11.69897000433602,4841763.0,201.861,100.0,650.0,41.0
-11.69897000433602,6597133.0,202.901,-100.0,650.0,41.0
-11.69897000433602,8342792.0,192.104,-300.0,650.0,41.0
-11.69897000433602,10092425.0,183.146,-500.0,650.0,41.0
-11.69897000433602,11841694.0,185.09,-700.0,650.0,41.0
-13.30102999566398,13169796.0,232.098,-850.0,650.0,41.0
-13.30102999566398,14033594.0,264.844,-950.0,650.0,41.0
-13.30102999566398,14958713.0,301.556,-1050.0,650.0,41.0
-13.30102999566398,16295030.0,323.497,-1200.0,650.0,41.0
-13.30102999566398,17990770.0,331.296,-1400.0,650.0,41.0
-13.30102999566398,19216219.0,334.903,-1550.0,650.0,41.0
-13.30102999566398,20011483.0,337.404,-1650.0,650.0,41.0
-13.30102999566398,20781324.0,337.638,-1750.0,650.0,41.0
-13.30102999566398,21530487.0,339.11,-1850.0,650.0,41.0
